"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"374","币道(#2)","/(#0)","币道(#3)","","","【IOS】安全中心页面，点击手势密码开启按钮跳转到手势密码设置界面，此时不设置手势直接返回到安全中心页面，手势密码的开启按钮状态不正确，仍然显示的开启状态，未设置成功时返回安全中心界面按钮状态应该为关闭","","3","1","代码错误","","","
","激活","2018-11-05","0","未确认","","肖yr","2018-11-05","主干(#trunk)","仁军","2018-11-05","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"373","币道(#2)","/(#0)","币道(#3)","","","【IOS】首页banner资源无法正常加载，显示的空白","","3","1","代码错误","","","

","激活","2018-11-05","0","未确认","","肖yr","2018-11-05","主干(#trunk)","仁军","2018-11-05","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"325","币道(#2)","/(#0)","币道(#3)","","","【APPUI】添加收款方式这个页面拖动起来后定在了这个错误的位置。。","","3","3","其他","","","[步骤]

[结果]

[期望]

","激活","0000-00-00","0","未确认","","老刘","2018-10-29","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","老刘","2018-11-06","",""
"324","币道(#2)","/(#0)","币道(#3)","","","【APPUI】收款方式的箭头用网盘里的这个资源","","3","3","界面优化","","","[步骤]


收款方式的箭头用网盘里的这个资源

[结果]

[期望]

","激活","0000-00-00","0","未确认","","老刘","2018-10-29","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","老刘","2018-11-06","",""
"287","币道(#2)","/(#0)","币道(#3)","","","【APPUI】k线详情的返回按钮位置偏左了，并且最下面的内容显示不全","","3","3","界面优化","","","[步骤]

[结果]

[期望]

","激活","0000-00-00","0","未确认","","老刘","2018-10-23","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","老刘","2018-11-06","",""
"286","币道(#2)","/(#0)","币道(#3)","","","【APPUI】身份认证","","3","3","界面优化","","","[步骤]

1.这个页面的返回按钮模糊了，其他页面的返回按钮就很清晰，并且返回上一级的时候，上一级页面会突然闪现一个蓝色的“返回”并消失，此bug同样出现在“添加收款方式”“公告详情”

2.“身份认证”标题位置偏下了
3.默认字体40px，#D0D9DF 100%
4.缺少勾选内容和确定按钮
[结果]

[期望]

","激活","0000-00-00","0","未确认","","老刘","2018-10-23","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","老刘","2018-11-06","",""
"254","币道(#2)","/(#0)","币道(#3)","","","【IOS】K线图页面中显示的数据排版错乱","","3","1","代码错误","","","","激活","2018-10-17","0","已确认","","肖yr","2018-10-17","主干(#trunk)","仁军","2018-11-05","","","","0000-00-00","","0000-00-00","0","","","肖yr","2018-11-05","",""
"178","币道(#2)","/(#0)","币道(#3)","","","【APPUI】K线详情页","","3","3","界面优化","","","[步骤]

1.返回按钮不是蓝色的，用统一的灰色
2.空的太多了
3.添加自选距离五角星图标的相对距离
[结果]

[期望]

","激活","0000-00-00","1","已确认","","老刘","2018-10-08","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","老刘","2018-11-06","",""
"86","币道(#2)","/(#0)","币道(#3)","","","【APPUI】收款方式/添加支付方式的支付选择列表页面和墨刀不一致，并缺少取消按钮","","1","1","界面优化","","","[步骤]

[结果]

[期望]



这UI好像变过。","激活","0000-00-00","2","已确认","","老刘","2018-09-15","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","老刘","2018-11-06","",""
"83","币道(#2)","/(#0)","币道(#3)","","","【APPUI】收款方式里的未添加样式参考墨刀，无开关按钮，去添加按钮，白色背景高度短一些","","1","1","界面优化","","","[步骤]

[结果]

[期望]

","激活","0000-00-00","3","已确认","","老刘","2018-09-15","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","老刘","2018-11-06","",""
